Club Speed (mph),Attack Angle (deg),Club Path (deg),Club Face (deg),Face to Path (deg),Ball Speed (mph),Smash Factor,Launch Angle (deg),Launch Direction (deg),Backspin (rpm),Sidespin (rpm),Spin Rate (rpm),Spin Rate Type,Spin Axis (deg),Apex Height (ft),Total Distance (yards),Total Deviation Angle (deg),Total Deviation Distance (yards),Air Density (g/L),Temperature (F),Air Pressure (kPA),Carry Distance (yards),Carry Deviation Angle (deg),Carry Deviation Distance (yards)
,,,0.0,,101.5121713,-45.38000107,19.14999962,-10.35000038,4306.322754,-69.90448761,4306.890137,Measured,0.930000007,62.07349106,157.3272098,-10.65999985,-29.11198692,0.9508776,69.692,80.74,150.9186352,-10.61999989,-27.82152289
,,,0.0,,91.78149333,-41.02999878,6.03000021,-0.360000014,1921.192505,-2789.09082,3386.73999,Measured,55.43999863,4.265091707,101.9903785,7.079999924,12.56561655,0.9508776,69.692,80.74,59.98468775,4.860000134,5.085301942
,,,0.0,,102.8767038,-45.99000168,20.68000031,-9.970000267,3202.391113,704.0913086,3278.879883,Measured,-12.39999962,65.84645569,158.7379636,-14.23999977,-39.05292988,0.9508776,69.692,80.74,158.7379636,-14.23999977,-39.05292988
,,,0.0,,92.81049051,-41.49000168,21.48999977,-6.519999981,2534.006592,559.4561157,2595.030029,Measured,-12.44999981,52.62467492,139.6216078,-9.909999847,-24.02668341,0.9508776,69.692,80.74,135.8814523,-9.699999809,-22.88932667
,,,0.0,,106.2097341,-47.47999954,21.10000038,-8.199999809,3800.060059,-275.7251282,3810.050049,Measured,4.150000095,77.00131008,166.6776068,-7.300000191,-21.17235412,0.9508776,69.692,80.74,166.6776068,-7.300000191,-21.17235412
,,,0.0,,104.5991373,-46.75999832,10.68000031,-2.529999971,3078.812988,-373.1225586,3101.340088,Measured,6.909999847,25.59055181,134.6784794,-1.0,-2.340332573,0.9508776,69.692,80.74,134.6784794,-1.0,-2.340332573
,,,0.0,,98.60415585,-44.08000183,19.12999916,-1.110000014,3042.333984,1130.225098,3245.48999,Measured,-20.37999916,52.03411961,151.7825823,-6.800000191,-17.95713044,0.9508776,69.692,80.74,142.6727982,-6.570000172,-16.32764688
,,,0.0,,104.0175376,-46.5,19.35000038,1.24000001,4748.930664,-30.66768265,4749.029785,Measured,0.370000005,68.20866442,157.0100693,1.450000048,3.980752521,0.9508776,69.692,80.74,157.0100693,1.450000048,3.980752521
,,,0.0,,114.7995698,-51.31999969,18.87999916,-1.74000001,5498.681641,318.0148621,5507.870117,Measured,-3.309999943,86.77821773,177.821529,-3.309999943,-10.26902925,0.9508776,69.692,80.74,177.821529,-3.309999943,-10.26902925
,,,0.0,,108.5137758,-48.50999832,19.39999962,1.690000057,4650.592773,-977.4906006,4752.209961,Measured,11.86999989,74.60629846,168.9632546,6.119999886,18.01181027,0.9508776,69.692,80.74,166.0761162,6.260000229,18.11023564
,,,0.0,,117.7075853,-52.61999893,14.85999966,-5.889999866,3118.650635,-187.46698,3124.280029,Measured,3.440000057,58.69422372,185.6845946,-5.059999943,-16.37139137,0.9508776,69.692,80.74,185.6845946,-5.059999943,-16.37139137
,,,0.0,,116.0522572,-51.88000107,16.65999985,-0.779999971,3076.828125,-571.3673096,3129.429932,Measured,10.52000046,65.45275841,185.5096291,2.49000001,8.059929884,0.9508776,69.692,80.74,185.5096291,2.49000001,8.059929884
,,,0.0,,111.824449,-49.99000168,18.75,3.410000086,3602.599365,-1712.181152,3988.77002,Measured,25.42000008,69.42257168,173.1189885,12.10999966,36.31889664,0.9508776,69.692,80.74,168.1102376,12.06000042,35.12685797
,,,0.0,,114.3298153,-51.11000061,15.10999966,-2.180000067,2672.239258,-332.3713684,2692.830078,Measured,7.090000153,52.62467492,184.8425244,-0.189999998,-0.623359572,0.9508776,69.692,80.74,176.3123373,-0.330000013,-1.017060375
,,,0.0,,112.4955282,-50.29000092,16.71999931,9.039999962,5591.825684,-3036.113281,6362.899902,Measured,28.5,64.04199625,160.3346463,20.85000038,57.06474224,0.9508776,69.692,80.74,157.7209112,20.79999924,56.01487448
,,,0.0,,131.5542264,-58.81000137,10.27000046,-11.42000008,3115.493164,-304.9277954,3130.379883,Measured,5.590000153,48.65485539,215.8355212,-9.590000153,-35.94706795,0.9508776,69.692,80.74,195.2974648,-10.09000015,-34.20822472
,,,0.0,,112.8534376,-50.45000076,1.220000029,-19.54999924,1809.297607,-464.2120361,1867.900024,Measured,14.39000034,0.328083994,60.24715677,-18.52000046,-19.13823272,0.9508776,69.692,80.74,60.24715677,-18.52000046,-19.13823272
,,,0.0,,130.9949923,-58.56000137,14.27999973,-5.260000229,2984.612305,-782.4415283,3085.469971,Measured,14.68999958,71.32545857,225.2952696,-0.219999999,-0.853018341,0.9508776,69.692,80.74,215.7152231,-0.560000002,-2.110673608
,,,0.0,,131.1292031,-58.61999893,15.02999973,-4.21999979,3135.124023,-952.5233765,3276.629883,Measured,16.89999962,77.26377702,225.5468127,1.889999986,7.436570637,0.9508776,69.692,80.74,217.2353449,1.529999971,5.818022935
,,,0.0,,122.4498964,-54.74000168,15.47000027,-5.949999809,2506.391602,-1025.391846,2708.030029,Measured,22.25,61.64698463,220.0021852,1.50999999,5.785214306,0.9508776,69.692,80.74,194.1272906,0.180000007,0.601487327
,,,0.0,,127.1921989,-56.86000061,7.800000191,-13.0,3553.169922,-820.9671631,3646.780029,Measured,13.01000023,32.54593201,186.0345588,-8.779999733,-28.40113661,0.9508776,69.692,80.74,171.7191648,-9.479999542,-28.26990418
,,,0.0,,132.9858643,-59.45000076,15.39000034,0.289999992,3687.465576,-1220.940552,3884.340088,Measured,18.31999969,86.12204724,220.723974,7.309999943,28.09492622,0.9508776,69.692,80.74,219.3897644,7.559999943,28.88232704
,,,0.0,,91.08804854,-40.72000122,13.76000023,-18.75,6648.618652,2590.851318,7135.589844,Measured,-21.29000092,29.92125947,110.8486446,-25.67000008,-48.00962547,0.9508776,69.692,80.74,107.458445,-25.92000008,-46.970692
,,,0.0,,115.1351137,-51.47000122,18.27000046,-5.800000191,2285.717285,-205.2012177,2294.909912,Measured,5.130000114,67.51968479,188.7139081,-4.659999847,-15.33245894,0.9508776,69.692,80.74,188.7139081,-4.659999847,-15.33245894
,,,0.0,,127.4606289,-56.97999954,19.03000069,-5.139999866,3184.989014,-166.9182129,3189.360107,Measured,3.0,99.80314986,219.794396,-4.380000114,-16.78696455,0.9508776,69.692,80.74,219.794396,-4.380000114,-16.78696455
,,,0.0,,118.2220796,-52.84999847,23.22999954,-8.800000191,4909.732422,107.9880524,4910.919922,Measured,-1.25999999,115.2230936,188.6154869,-10.32999992,-33.82545965,0.9508776,69.692,80.74,188.6154869,-10.32999992,-33.82545965
,,,0.0,,84.24302042,-37.65999985,41.81999969,-16.17000008,5646.808594,2378.339844,6127.22998,Measured,-22.84000015,107.0866122,104.877517,-26.78000069,-47.25502962,0.9508776,69.692,80.74,104.877517,-26.78000069,-47.25502962
